Name,Rating,Number of Ratings,Price,Winery,Alcohol content,Bold,Tannin,Sweet,Acidic,Country_Region,Goat cheese,Blue cheese,"Rich fish (salmon, tuna etc)",Appetizers and snacks,Lean fish,Poultry,Sweet desserts,Veal,Aperitif,Beef,Spicy food,Cured Meat,Fruity desserts,Vegetarian,Lamb,Mushrooms,Pasta,Mild and soft cheese,Shellfish,"Game (deer, venison)",Mature and hard cheese,Pork
Estate Shiraz 2018,3.9,1542,22.32,Taylors / Wakefield,14.0,84.48,45.08,22.76,43.13,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Entity Shiraz 2018,4.3,331,34.94,John Duval,14.5,84.27,45.34,21.84,43.32,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
L-BLOCK Shiraz 2013,4.0,51,25.98,Domaine Terlato & Chapoutier,14.5,85.0,53.74,20.74,46.35,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Puritan Shiraz 2019,3.8,80,20.0,Battle of Bosworth,14.5,81.95,45.02,18.86,46.2,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
The Steading 2019,4.1,170,36.0,Torbreck,15.0,85.0,45.38,10.77,43.06,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Max's Cabernet Sauvignon 2017,3.8,706,19.99,Penfolds,14.5,68.33,55.45,7.89,53.45,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Shiraz (Signature) 2019,3.8,117,22.67,Robert Oatley,14.5,84.19,43.25,16.84,40.69,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
M3 Chardonnay 2020,4.0,289,45.33,Shaw + Smith,13.5,54.0862,46.29526972,9.05,53.555,South Australia,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Lionheart of the Barossa Shiraz 2019,3.9,2013,25.99,Dandelion Vineyards,14.5,85.0,47.31,21.53,43.37,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Mother's Milk Shiraz 2019,3.9,644,16.14,First Drop,14.5,85.0,42.44,18.1,42.39,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Sexy Beast Cabernet Sauvignon 2017,3.9,907,26.7,Two Hands,13.4,67.93,56.53,10.92,54.68,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Valley Floor Shiraz 2013,4.1,386,16.98,Langmeil,14.5,85.0,45.86,20.32,43.07,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Mathilda Shiraz 2017,3.8,1052,15.95,Domaine Tournon,14.5,81.52,46.79,15.86,45.75,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Basket Pressed Shiraz 2014,3.8,194,31.98,Kay Brothers,14.2,85.0,43.1,21.03,41.37,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
The Wild Ride 2018,3.9,38,18.99,Tait,15.9,85.0,49.68,4.44,46.1,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Entity Shiraz 2020,4.1,66,34.94,John Duval,14.5,84.27,45.34,21.84,43.32,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Organic Viognier 2021,3.8,167,19.99,Yalumba,13.5,53.192,46.29526972,9.05,53.555,South Australia,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Moppa Shiraz 2020,4.1,205,36.45,Kalleske,14.5,85.0,43.27,21.77,41.77,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Nest Egg Shiraz 2013,4.3,131,32.0,Bird In Hand,14.5,84.62,41.54,18.61,37.18,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Wallace (Shiraz - Grenache) 2016,3.8,900,23.74,Glaetzer,14.5,85.0,47.99,13.89,44.32,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
GSM 2016,4.0,130,27.99,Yangarra,14.5,85.0,48.52,8.65,45.57,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Chardonnay 2013,3.8,129,29.56,Heggies,13.0,53.7001,46.29526972,9.05,53.555,South Australia,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Rufus Stone Heathcote Shiraz 2019,3.8,112,24.92,Tyrrell's,14.5,85.0,46.85,17.97,44.59,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
d'Arry's Original Shiraz - Grenache 2015,3.8,430,17.09,d'Arenberg,14.5,85.0,49.39,8.55,45.15,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Riesling 2021,3.8,81,18.49,Pewsey Vale,12.0,41.7034,46.29526972,9.05,53.555,South Australia,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
The Cigar Cabernet Sauvignon 2016,4.1,414,32.99,Yalumba,14.5,67.52,56.08,7.91,54.17,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Hills & Valleys Riesling 2018,3.8,206,29.99,Pikes,11.0,42.2872,46.29526972,9.05,53.555,South Australia,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
Sexy Beast Cabernet Sauvignon 2018,4.1,1426,26.7,Two Hands,14.2,67.93,56.58,10.87,54.68,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
The Formula Robert's Shiraz 2018,3.8,78,18.99,Small Gully,14.9,85.0,43.67,19.47,42.11,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Scotsdale Cabernet Sauvignon 2016,4.1,71,35.99,Howard Park,14.0,64.6,52.86,14.65,50.69,Western Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
The Scooter Merlot 2017,4.0,343,27.99,Mollydooker,16.0,68.86,19.81,10.28,10.47,South Australia,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Double Barrel Shiraz 2018,3.9,1806,14.99,Jacob's Creek,14.5,85.0,42.96,20.42,42.71,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Gnarly Dudes Shiraz 2018,4.0,1724,29.95,Two Hands,13.8,85.0,47.05,21.78,44.33,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
The Maitre d'Cabernet Sauvignon 2018,4.1,481,25.94,Mollydooker,15.5,70.24,56.32,13.1,53.5,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
The Maitre d'Cabernet Sauvignon 2016,4.1,771,25.94,Mollydooker,15.5,70.24,56.32,13.1,53.5,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Bin 28 Shiraz 2019,4.1,1074,26.99,Penfolds,14.5,85.0,46.42,20.04,42.9,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
William Randell Shiraz 2017,4.2,114,38.0,Thorn-Clarke,14.5,85.0,47.99,25.12,44.52,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
The Uprising Red 2020,4.0,4028,9.99,19 Crimes,14.0,68.37,54.95,20.95,53.92,South Eastern Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Johann's Garden 2015,4.0,314,39.98,Henschke,14.5,85.0,44.81,7.9,42.66,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
The Boxer Shiraz 2020,4.1,494,29.91,Mollydooker,16.0,85.0,47.06,22.26,42.96,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Woodcutter's Shiraz 2020,4.0,516,21.35,Torbreck,14.5,85.0,47.04,22.31,42.54,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Miamup Cabernet Sauvignon 2017,3.8,259,17.09,Howard Park,14.0,64.93,54.41,7.57,52.18,Western Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Highbury Fields Shiraz 2018,3.9,65,26.67,Forest Hill,14.0,80.46,39.85,12.21,43.22,Western Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Lionheart of the Barossa Shiraz 2011,3.8,494,24.0,Dandelion Vineyards,14.0,85.0,47.31,21.53,43.37,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Riverside Grenache - Mataro - Shiraz 2019,4.0,61,18.99,Powell & Son,14.5,85.0,44.87,14.03,43.57,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
The Boxer Shiraz 2019,4.1,2524,29.99,Mollydooker,16.0,85.0,47.06,22.26,42.96,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
d'Arry's Original Shiraz - Grenache 2017,3.8,659,17.09,d'Arenberg,14.0,85.0,49.39,8.55,45.15,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Max's Cabernet Sauvignon 2018,3.8,1127,19.99,Penfolds,14.5,68.33,55.45,7.89,53.45,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Miss Harry 2017,3.8,392,25.99,Hewitson,14.0,83.83,44.45,9.99,44.48,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Mr. Black's Little Book Shiraz 2017,3.8,1411,18.08,Small Gully,15.0,85.0,45.97,22.68,45.43,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Clarry's GSM 2018,3.9,399,25.99,Kalleske,14.5,85.0,44.05,8.82,42.76,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Grand Barossa Cabernet Sauvignon 2018,3.9,607,14.99,Château Tanunda,15.0,66.83,58.08,7.67,54.53,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Family Crest Chardonnay 2017,4.0,32,18.98,Angove,13.0,56.9948,46.29526972,9.05,53.555,South Australia,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Bin 311 Chardonnay 2019,3.8,263,29.95,Penfolds,13.0,52.9366,46.29526972,9.05,53.555,New South Wales,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Barossa Shiraz 2018,3.9,288,18.5,Yalumba,14.0,80.49,46.58,24.32,42.81,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Mataro - Grenache - Shiraz 2018,3.9,50,33.0,Tim Smith,14.0,85.0,44.77,9.36,39.99,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Lieu dit Malakoff Shiraz 2013,4.1,319,50.99,Domaine Terlato & Chapoutier,14.0,83.39,49.77,17.95,45.84,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Bin 28 Shiraz 2010,3.9,1924,29.95,Penfolds,12.5,85.0,46.44,20.04,42.92,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Angels' Share Shiraz 2019,4.0,2451,29.95,Two Hands,13.8,85.0,45.85,20.08,44.14,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
